customer_id,age,state,employment_type,segment,monthly_income,credit_score,years_with_bank,existing_loans,onboarding_year
CUST000001,60,Maharashtra,Business Owner,Mass,121410,715,7,4,2019
CUST000002,50,West Bengal,Salaried,Retail,38445,753,1,2,2008
CUST000003,36,UP,Government,Retail,174163,661,12,0,2012
CUST000004,64,Telangana,Self-Employed,Mass,111413,525,16,3,2020
CUST000005,29,Rajasthan,Salaried,Retail,174262,601,14,1,2007
CUST000006,42,West Bengal,Salaried,Corporate,97255,568,13,1,2011
CUST000007,60,UP,Freelancer,SME,195723,727,6,4,2008
CUST000008,40,West Bengal,Self-Employed,Mass,81274,822,2,2,2014
CUST000009,44,Telangana,Salaried,Premium,127704,735,17,0,2018
CUST000010,32,Maharashtra,Business Owner,SME,207072,608,12,0,2007
CUST000011,32,UP,Salaried,SME,86360,545,3,3,2005
CUST000012,45,Punjab,Business Owner,Retail,48494,656,3,3,2007
CUST000013,57,Gujarat,Self-Employed,Retail,130876,655,13,2,2009
CUST000014,61,Delhi,Salaried,Corporate,231785,667,17,0,2023
CUST000015,45,Rajasthan,Salaried,SME,80795,772,6,3,2021
CUST000016,24,Tamil Nadu,Salaried,Corporate,162721,560,8,0,2007
CUST000017,43,Karnataka,Government,Retail,81330,711,3,4,2019
CUST000018,23,Maharashtra,Self-Employed,Mass,31494,831,15,3,2021
CUST000019,45,Gujarat,Business Owner,Retail,91033,586,4,1,2009
CUST000020,51,Karnataka,Salaried,Mass,99534,687,1,1,2009
CUST000021,59,Tamil Nadu,Salaried,Retail,124123,705,5,4,2016
CUST000022,23,UP,Business Owner,Retail,113727,665,15,1,2009
CUST000023,42,West Bengal,Salaried,Premium,248312,818,14,4,2011
CUST000024,54,Gujarat,Salaried,SME,231552,641,7,2,2009
CUST000025,33,Rajasthan,Salaried,Corporate,214303,787,10,0,2021
CUST000026,43,Telangana,Self-Employed,Premium,213926,777,4,1,2006
CUST000027,46,Punjab,Salaried,Retail,18132,571,3,4,2020
CUST000028,48,Delhi,Salaried,Retail,184094,717,17,2,2008
CUST000029,63,West Bengal,Self-Employed,SME,158740,731,10,1,2007
CUST000030,49,Maharashtra,Self-Employed,Retail,241029,787,10,2,2023
CUST000031,37,Karnataka,Salaried,Corporate,58485,606,6,2,2022
CUST000032,36,Maharashtra,Salaried,Retail,17711,685,0,2,2010
CUST000033,24,Maharashtra,Business Owner,SME,228011,726,14,0,2023
CUST000034,58,Gujarat,Freelancer,SME,107726,623,3,0,2010
CUST000035,28,Telangana,Salaried,Premium,232092,768,4,1,2005
CUST000036,42,Karnataka,Salaried,SME,175262,494,19,4,2007
CUST000037,30,Karnataka,Salaried,Mass,77948,648,7,4,2007
CUST000038,60,Karnataka,Salaried,Retail,45207,570,2,3,2010
CUST000039,39,Maharashtra,Salaried,SME,232849,595,13,0,2009
CUST000040,25,Gujarat,Self-Employed,Mass,208737,724,15,3,2016
CUST000041,46,Maharashtra,Self-Employed,Mass,245476,852,8,0,2010
CUST000042,35,Punjab,Self-Employed,Retail,246444,707,2,0,2005
CUST000043,30,Punjab,Salaried,Premium,65178,587,17,2,2016
CUST000044,47,Karnataka,Self-Employed,Premium,15692,558,9,3,2020
CUST000045,23,Telangana,Salaried,Mass,43557,666,12,3,2006
CUST000046,41,Telangana,Salaried,SME,130324,695,18,0,2008
CUST000047,49,Karnataka,Business Owner,SME,230604,621,19,2,2013
CUST000048,28,UP,Salaried,Corporate,209383,729,17,3,2006
CUST000049,29,Rajasthan,Salaried,Mass,138710,828,8,1,2009
CUST000050,56,Karnataka,Self-Employed,Retail,115789,636,14,0,2006
CUST000051,35,Gujarat,Self-Employed,Corporate,198367,618,11,4,2005
CUST000052,38,Gujarat,Salaried,Corporate,110511,661,5,3,2017
CUST000053,57,Gujarat,Salaried,Premium,93797,569,7,0,2006
CUST000054,61,Karnataka,Self-Employed,SME,242249,620,15,2,2012
CUST000055,25,Gujarat,Government,SME,101917,709,16,2,2013
CUST000056,23,Gujarat,Government,Retail,87663,583,5,0,2022
CUST000057,27,Tamil Nadu,Government,Mass,223860,753,14,2,2021
CUST000058,63,Tamil Nadu,Salaried,Retail,97713,753,5,1,2012
CUST000059,25,Delhi,Salaried,Retail,113721,600,10,2,2007
CUST000060,50,UP,Salaried,Corporate,111299,763,9,2,2014
CUST000061,39,West Bengal,Salaried,SME,217180,643,4,1,2010
CUST000062,47,Maharashtra,Salaried,Retail,16761,857,13,1,2016
CUST000063,55,Gujarat,Self-Employed,Retail,136193,699,17,0,2008
CUST000064,31,Delhi,Salaried,Retail,77049,555,11,0,2021
CUST000065,57,Punjab,Salaried,Retail,120164,595,14,1,2007
CUST000066,35,Telangana,Self-Employed,Retail,144090,624,4,0,2008
CUST000067,52,West Bengal,Salaried,SME,210029,645,15,0,2018
CUST000068,36,Delhi,Salaried,Retail,84076,703,0,1,2013
CUST000069,29,Telangana,Self-Employed,Retail,158834,616,8,3,2009
CUST000070,35,Karnataka,Salaried,Corporate,133999,744,14,4,2022
CUST000071,44,UP,Business Owner,Retail,17854,686,4,2,2010
CUST000072,61,Tamil Nadu,Government,Retail,160775,787,16,1,2016
CUST000073,42,Karnataka,Salaried,Mass,121036,611,13,1,2005
CUST000074,37,Karnataka,Self-Employed,Retail,116639,772,9,3,2013
CUST000075,39,Delhi,Salaried,Retail,104283,758,9,4,2015
CUST000076,45,UP,Government,SME,138299,640,1,0,2014
CUST000077,47,Rajasthan,Salaried,Mass,184029,900,11,1,2010
CUST000078,46,Gujarat,Business Owner,Retail,59638,760,16,2,2010
CUST000079,62,UP,Self-Employed,Mass,30172,618,2,0,2010
CUST000080,50,Delhi,Business Owner,Premium,38685,632,8,3,2021
CUST000081,36,Telangana,Government,Corporate,29465,545,11,4,2011
CUST000082,22,West Bengal,Salaried,Retail,27544,581,7,2,2019
CUST000083,46,Telangana,Salaried,Retail,176085,711,1,0,2023
CUST000084,28,Karnataka,Business Owner,Retail,132276,641,9,3,2015
CUST000085,30,Punjab,Business Owner,SME,121582,592,5,2,2023
CUST000086,45,Punjab,Self-Employed,Retail,31109,770,16,4,2017
CUST000087,22,Punjab,Business Owner,Premium,19842,512,7,3,2010
CUST000088,29,UP,Business Owner,Corporate,145306,677,17,4,2019
CUST000089,45,Rajasthan,Government,Premium,202506,661,13,4,2007
CUST000090,32,Rajasthan,Self-Employed,Retail,125456,606,13,2,2009
CUST000091,38,Rajasthan,Salaried,SME,100711,755,13,2,2017
CUST000092,29,UP,Self-Employed,Premium,179835,654,10,0,2021
CUST000093,56,Maharashtra,Salaried,Retail,43446,785,4,0,2006
CUST000094,56,Rajasthan,Salaried,SME,36525,739,12,3,2016
CUST000095,54,Delhi,Business Owner,Corporate,43026,573,2,3,2007
CUST000096,26,Tamil Nadu,Salaried,Retail,115359,763,0,0,2012
CUST000097,63,Maharashtra,Salaried,Retail,203492,730,7,3,2023
CUST000098,60,Telangana,Salaried,Retail,242301,767,13,0,2019
CUST000099,62,Punjab,Salaried,SME,28084,669,6,2,2022
CUST000100,49,Maharashtra,Self-Employed,SME,232167,596,7,0,2008
CUST000101,28,Gujarat,Salaried,Corporate,117025,671,4,1,2017
CUST000102,30,UP,Business Owner,Retail,133701,653,0,2,2010
CUST000103,29,Maharashtra,Salaried,SME,204729,713,7,0,2005
CUST000104,33,UP,Salaried,Retail,47695,889,8,0,2009
CUST000105,55,Tamil Nadu,Salaried,Retail,47186,551,0,4,2011
CUST000106,54,Karnataka,Salaried,Retail,142264,669,3,4,2005
CUST000107,44,Rajasthan,Business Owner,Retail,46309,660,8,3,2015
CUST000108,45,Telangana,Salaried,Corporate,22151,598,1,4,2009
CUST000109,58,West Bengal,Salaried,SME,237943,826,3,2,2006
CUST000110,56,UP,Salaried,Retail,243246,633,19,2,2022
CUST000111,61,Gujarat,Business Owner,Retail,60454,649,16,0,2005
CUST000112,43,Delhi,Self-Employed,Retail,117267,606,17,3,2019
CUST000113,48,Karnataka,Business Owner,Retail,75696,592,11,0,2019
CUST000114,56,Karnataka,Salaried,Retail,214288,514,7,0,2020
CUST000115,22,Tamil Nadu,Self-Employed,Mass,20657,712,7,1,2012
CUST000116,56,Punjab,Salaried,Premium,159523,605,5,3,2017
CUST000117,58,West Bengal,Freelancer,SME,175447,750,4,4,2011
CUST000118,35,Punjab,Business Owner,Retail,125610,480,14,4,2012
CUST000119,24,Telangana,Salaried,Retail,80584,703,11,0,2018
CUST000120,22,Karnataka,Self-Employed,Premium,61318,629,19,3,2006
CUST000121,26,West Bengal,Salaried,Retail,57727,601,3,3,2008
CUST000122,47,Tamil Nadu,Salaried,Corporate,228394,852,16,1,2023
CUST000123,35,Punjab,Self-Employed,Retail,217743,521,16,1,2018
CUST000124,60,Rajasthan,Salaried,SME,240631,654,13,3,2021
CUST000125,48,West Bengal,Salaried,Corporate,168033,707,18,4,2006
CUST000126,30,West Bengal,Salaried,Retail,130418,667,10,2,2022
CUST000127,36,UP,Business Owner,Retail,249039,682,14,4,2017
CUST000128,36,Rajasthan,Government,SME,226646,656,3,3,2023
CUST000129,47,Maharashtra,Salaried,Mass,125324,585,6,1,2006
CUST000130,63,West Bengal,Salaried,Retail,144587,557,5,0,2009
CUST000131,34,Karnataka,Salaried,Retail,29271,464,6,4,2023
CUST000132,53,Tamil Nadu,Salaried,Mass,133760,736,9,0,2009
CUST000133,60,Telangana,Salaried,Premium,164393,642,16,4,2016
CUST000134,53,Gujarat,Salaried,Mass,32250,632,3,2,2008
CUST000135,25,Rajasthan,Business Owner,Retail,195145,671,5,0,2013
CUST000136,51,Delhi,Self-Employed,Mass,90404,647,6,3,2011
CUST000137,58,Gujarat,Salaried,SME,91609,678,8,2,2006
CUST000138,44,Gujarat,Salaried,Corporate,62011,767,5,2,2008
CUST000139,60,Karnataka,Salaried,SME,181293,490,10,4,2018
CUST000140,36,Punjab,Salaried,Retail,149782,842,10,0,2018
CUST000141,64,Gujarat,Self-Employed,Retail,169963,664,6,3,2005
CUST000142,50,Tamil Nadu,Salaried,Retail,156446,766,16,3,2007
CUST000143,57,Gujarat,Freelancer,SME,138531,753,11,4,2013
CUST000144,34,Punjab,Salaried,Retail,111334,754,0,4,2007
CUST000145,53,UP,Self-Employed,Retail,39924,874,8,1,2012
CUST000146,28,West Bengal,Business Owner,Corporate,19847,677,14,3,2005
CUST000147,43,Maharashtra,Salaried,SME,106271,822,8,2,2023
CUST000148,49,Karnataka,Self-Employed,Retail,36910,643,6,0,2012
CUST000149,23,UP,Salaried,Corporate,129291,654,7,0,2013
CUST000150,63,Tamil Nadu,Salaried,Premium,116004,617,15,3,2014
CUST000151,27,Tamil Nadu,Salaried,Corporate,222748,752,11,2,2013
CUST000152,49,Punjab,Salaried,Mass,55710,637,9,2,2008
CUST000153,49,Telangana,Salaried,Retail,134363,572,2,1,2009
